Designator,Mid X,Mid Y,Rotation,Layer
D1,132.5,-69.05625,90.0,bottom
D10,151.60625,-107.15625,90.0,bottom
D11,169.5,-107.15625,90.0,bottom
D12,132.5,-126.0,90.0,bottom
D13,152.0,-126.0,90.0,bottom
D14,170.0,-126.0,90.0,bottom
D15,189.5,-135.5725,90.0,bottom
D16,151.60625,-144.4625,90.0,bottom
D17,170.0,-144.5,90.0,bottom
D2,151.60625,-69.05625,90.0,bottom
D3,170.65625,-69.05625,90.0,bottom
D4,189.70625,-69.05625,90.0,bottom
D5,132.55625,-87.9475,90.0,bottom
D6,151.60625,-87.9475,90.0,bottom
D7,169.5,-87.9475,90.0,bottom
D8,189.70625,-97.5,90.0,bottom
D9,132.55625,-107.15625,90.0,bottom
S1,123.08,-66.99,0.0,top
S10,141.495,-105.09,0.0,top
S11,160.545,-105.09,0.0,top
S12,122.445,-124.14,0.0,top
S13,141.495,-124.14,0.0,top
S14,160.545,-124.14,0.0,top
S15,179.595,-133.665,0.0,top
S16,131.97,-143.19,0.0,top
S17,160.545,-143.19,0.0,top
S2,142.13,-66.99,0.0,top
S3,161.18,-66.99,0.0,top
S4,180.23,-66.99,0.0,top
S5,123.08,-86.04,0.0,top
S6,142.13,-86.04,0.0,top
S7,161.18,-86.04,0.0,top
S8,179.595,-95.565,0.0,top
S9,122.445,-105.09,0.0,top
SW2,180.0,-51.0,0.0,top
U1,123.5175,-49.055,0.0,top
